sim: ** simulation statistics **
sim_num_insn              100000000 # total number of instructions executed
sim_num_refs               36945733 # total number of loads and stores executed
sim_elapsed_time                 27 # total simulation time in seconds
sim_inst_rate          3703703.7037 # simulation speed (in insts/sec)
sim_num_condbranch          9128221 # total number of conditional branches
sim_num_branch             11847324 # total number of braches
inst_branch_rate             0.1185 # The percent of instructions that are branches
inst_condbranch_rate         0.7705 # The percent of branches that are conditional branches
ld_text_base           0x0120000000 # program text (code) segment base
ld_text_size                 442368 # program text (code) size in bytes
ld_data_base           0x0140000000 # program initialized data segment base
ld_data_size                1163616 # program init'ed `.data' and uninit'ed `.bss' size in bytes
ld_stack_base          0x011ff9b000 # program stack segment base (highest address in stack)
ld_stack_size                 16384 # program initial stack size
ld_prog_entry          0x01200106e0 # program entry point (initial PC)
ld_environ_base        0x011ff97000 # program environment base address address
ld_target_big_endian              0 # target executable endian-ness, non-zero if big endian
mem.page_count                  305 # total number of pages allocated
mem.page_mem                  2440k # total size of memory pages allocated
mem.ptab_misses              692894 # total first level page table misses
mem.ptab_accesses         274900802 # total page table accesses
mem.ptab_miss_rate           0.0025 # first level page table miss rate
bpred_2lev.lookups         11847324 # total number of bpred lookups
bpred_2lev.updates         11847324 # total number of updates
bpred_2lev.addr_hits        7439748 # total number of address-predicted hits
bpred_2lev.dir_hits         7555351 # total number of direction-predicted hits (includes addr-hits)
bpred_2lev.misses           4291973 # total number of misses
bpred_2lev.jr_hits          1096010 # total number of address-predicted hits for JR's
bpred_2lev.jr_seen          1208553 # total number of JR's seen
bpred_2lev.jr_non_ras_hits.PP        98288 # total number of address-predicted hits for non-RAS JR's
bpred_2lev.jr_non_ras_seen.PP       210167 # total number of non-RAS JR's seen
bpred_2lev.bpred_addr_rate    0.6280 # branch address-prediction rate (i.e., addr-hits/updates)
bpred_2lev.bpred_dir_rate    0.6377 # branch direction-prediction rate (i.e., all-hits/updates)
bpred_2lev.bpred_jr_rate    0.9069 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
bpred_2lev.bpred_jr_non_ras_rate.PP    0.4677 # non-RAS JR addr-pred rate (ie, non-RAS JR hits/JRs seen)
bpred_2lev.retstack_pushes       998402 # total number of address pushed onto ret-addr stack
bpred_2lev.retstack_pops       998386 # total number of address popped off of ret-addr stack
bpred_2lev.used_ras.PP       998386 # total number of RAS predictions used
bpred_2lev.ras_hits.PP       997722 # total number of RAS hits
bpred_2lev.ras_rate.PP    0.9993 # RAS prediction rate (i.e., RAS hits/used RAS)
bpred_2lev.lookups         11847324 # total number of bpred lookups
bpred_2lev.updates         11847324 # total number of updates
bpred_2lev.addr_hits       10365669 # total number of address-predicted hits
bpred_2lev.dir_hits        10481587 # total number of direction-predicted hits (includes addr-hits)
bpred_2lev.misses           1365737 # total number of misses
bpred_2lev.jr_hits          1096010 # total number of address-predicted hits for JR's
bpred_2lev.jr_seen          1208553 # total number of JR's seen
bpred_2lev.jr_non_ras_hits.PP        98288 # total number of address-predicted hits for non-RAS JR's
bpred_2lev.jr_non_ras_seen.PP       210167 # total number of non-RAS JR's seen
bpred_2lev.bpred_addr_rate    0.6280 # branch address-prediction rate (i.e., addr-hits/updates)
bpred_2lev.bpred_dir_rate    0.6377 # branch direction-prediction rate (i.e., all-hits/updates)
bpred_2lev.bpred_jr_rate    0.9069 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
bpred_2lev.bpred_jr_non_ras_rate.PP    0.4677 # non-RAS JR addr-pred rate (ie, non-RAS JR hits/JRs seen)
bpred_2lev.retstack_pushes       998402 # total number of address pushed onto ret-addr stack
bpred_2lev.retstack_pops       998386 # total number of address popped off of ret-addr stack
bpred_2lev.used_ras.PP       998386 # total number of RAS predictions used
bpred_2lev.ras_hits.PP       997722 # total number of RAS hits
bpred_2lev.ras_rate.PP    0.9993 # RAS prediction rate (i.e., RAS hits/used RAS)
bpred_2lev.lookups         11847324 # total number of bpred lookups
bpred_2lev.updates         11847324 # total number of updates
bpred_2lev.addr_hits       10422806 # total number of address-predicted hits
bpred_2lev.dir_hits        10538739 # total number of direction-predicted hits (includes addr-hits)
bpred_2lev.misses           1308585 # total number of misses
bpred_2lev.jr_hits          1096010 # total number of address-predicted hits for JR's
bpred_2lev.jr_seen          1208553 # total number of JR's seen
bpred_2lev.jr_non_ras_hits.PP        98288 # total number of address-predicted hits for non-RAS JR's
bpred_2lev.jr_non_ras_seen.PP       210167 # total number of non-RAS JR's seen
bpred_2lev.bpred_addr_rate    0.6280 # branch address-prediction rate (i.e., addr-hits/updates)
bpred_2lev.bpred_dir_rate    0.6377 # branch direction-prediction rate (i.e., all-hits/updates)
bpred_2lev.bpred_jr_rate    0.9069 # JR address-prediction rate (i.e., JR addr-hits/JRs seen)
bpred_2lev.bpred_jr_non_ras_rate.PP    0.4677 # non-RAS JR addr-pred rate (ie, non-RAS JR hits/JRs seen)
bpred_2lev.retstack_pushes       998402 # total number of address pushed onto ret-addr stack
bpred_2lev.retstack_pops       998386 # total number of address popped off of ret-addr stack
